objectid,title,description,creator,date,location,lcsh_loc,coverage,region,relation,digital_collection,holding_institution,source,findingaid,notes,original_file_number,identifier,rights,rightsstatement,original_format,type,language,format,filename,display_template,object_location,image_small,image_thumb
shattuck0,Driblet Cone,"An unidentified person leans on a driblet cone. The glass slide reads: 'Driblet Cone On ""aa"" Surface.'","Shattuck, C. H.",1904,Snake River Plain (Idaho and Or.);Craters of the Moon National Monument (Idaho);Craters of the Moon National Preserve (Idaho);Inferno Cone;Idaho;Butte County,Snake River Plain (Idaho and Or.); Craters of the Moon National Monument (Idaho); Craters of the Moon National Preserve (Idaho);,United States--Idaho--Butte County,Inferno Cone,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, https://www.lib.uidaho.edu/digital/uiext/items/uiext3327.html)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/shattuck/","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 4; 17-25",0105-01-04,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,shattuck0.jpg,image,https://objects.lib.uidaho.edu/shattuck/shattuck0.jpg,https://objects.lib.uidaho.edu/shattuck/small/shattuck0_sm.jpg,https://objects.lib.uidaho.edu/shattuck/thumbs/shattuck0_th.jpg
shattuck1,Bitterroot Mountains (Idaho),The glass slide reads: 'Bitterroot Mountains from 62 Camp Trail.',"Shattuck, C. H.",1904,Bitterroot Range (Idaho and Mont.);Idaho,Bitterroot Range (Idaho and Mont.),United States--Idaho,,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, https://www.lib.uidaho.edu/digital/uiext/items/uiext3327.html)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/shattuck/","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 13; 20-2",0105-01-13,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,shattuck1.jpg,image,https://objects.lib.uidaho.edu/shattuck/shattuck1.jpg,https://objects.lib.uidaho.edu/shattuck/small/shattuck1_sm.jpg,https://objects.lib.uidaho.edu/shattuck/thumbs/shattuck1_th.jpg
shattuck2,Western Yellow Pine,The glass slide reads: 'Western Yellow Pine. Exceptionally fine form. Clearwater River Valley.',"Shattuck, C. H.",1904,Idaho,,United States--Idaho,,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, https://www.lib.uidaho.edu/digital/uiext/items/uiext3327.html)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/shattuck/","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 14; 20-3",0105-01-14,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,shattuck2.jpg,image,https://objects.lib.uidaho.edu/shattuck/shattuck2.jpg,https://objects.lib.uidaho.edu/shattuck/small/shattuck2_sm.jpg,https://objects.lib.uidaho.edu/shattuck/thumbs/shattuck2_th.jpg
shattuck3,Cedar and White Fir stand,"The glass slide reads: 'Cedar and White Fir stand. 62 Camp, Idaho.'","Shattuck, C. H.",1904,Idaho,,United States--Idaho,,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, https://www.lib.uidaho.edu/digital/uiext/items/uiext3327.html)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/shattuck/","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 15; 20-5",0105-01-15,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,shattuck3.jpg,image,https://objects.lib.uidaho.edu/shattuck/shattuck3.jpg,https://objects.lib.uidaho.edu/shattuck/small/shattuck3_sm.jpg,https://objects.lib.uidaho.edu/shattuck/thumbs/shattuck3_th.jpg
shattuck4,Pine Cedar,The glass slide reads: 'Pine Cedar. Moose Creek.',"Shattuck, C. H.",1904,Nezperce National Forest (Idaho);Idaho,Nezperce National Forest (Idaho),United States--Idaho,,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, https://www.lib.uidaho.edu/digital/uiext/items/uiext3327.html)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/shattuck/","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 16; 20-6",0105-01-16,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,shattuck4.jpg,image,https://objects.lib.uidaho.edu/shattuck/shattuck4.jpg,https://objects.lib.uidaho.edu/shattuck/small/shattuck4_sm.jpg,https://objects.lib.uidaho.edu/shattuck/thumbs/shattuck4_th.jpg
shattuck5,Western Red Cedar,"The glass slide reads: 'Western Red Cedar. Moose Creek, Idaho.'","Shattuck, C. H.",1904,Nezperce National Forest (Idaho);Idaho,Nezperce National Forest (Idaho),United States--Idaho,,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, https://www.lib.uidaho.edu/digital/uiext/items/uiext3327.html)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/shattuck/","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 17; 20-7",0105-01-17,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,shattuck5.jpg,image,https://objects.lib.uidaho.edu/shattuck/shattuck5.jpg,https://objects.lib.uidaho.edu/shattuck/small/shattuck5_sm.jpg,https://objects.lib.uidaho.edu/shattuck/thumbs/shattuck5_th.jpg
shattuck6,Typical Yellow Pine,"The glass slide reads: 'Typical Yellow Pine. Three Forks, Idaho.'","Shattuck, C. H.",1904,Idaho,,United States--Idaho--Owyhee County,,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, https://www.lib.uidaho.edu/digital/uiext/items/uiext3327.html)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/shattuck/","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 18; 20-8",0105-01-18,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,shattuck6.jpg,image,https://objects.lib.uidaho.edu/shattuck/shattuck6.jpg,https://objects.lib.uidaho.edu/shattuck/small/shattuck6_sm.jpg,https://objects.lib.uidaho.edu/shattuck/thumbs/shattuck6_th.jpg
shattuck7,Young Spruce,"The glass slide reads: 'Young Spruce (2 in center). One cut for stem analysis. Three Forks, Idaho.'","Shattuck, C. H.",1904,Idaho;Owyhee County,,United States--Idaho--Owyhee County,,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, https://www.lib.uidaho.edu/digital/uiext/items/uiext3327.html)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/shattuck/","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 19; 20-9",0105-01-19,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,shattuck7.jpg,image,https://objects.lib.uidaho.edu/shattuck/shattuck7.jpg,https://objects.lib.uidaho.edu/shattuck/small/shattuck7_sm.jpg,https://objects.lib.uidaho.edu/shattuck/thumbs/shattuck7_th.jpg
shattuck8,Alpine Fir and Lyall Larch,"The glass slide reads: 'Alpine Fir and Lyall Larch stem analysis. 62 Camp, Idaho.'","Shattuck, C. H.",1904,Idaho,,United States--Idaho,,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, https://www.lib.uidaho.edu/digital/uiext/items/uiext3327.html)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/shattuck/","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 20; 20-10",0105-01-20,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,shattuck8.jpg,image,https://objects.lib.uidaho.edu/shattuck/shattuck8.jpg,https://objects.lib.uidaho.edu/shattuck/small/shattuck8_sm.jpg,https://objects.lib.uidaho.edu/shattuck/thumbs/shattuck8_th.jpg
shattuck9,Whitebark Pine,The glass slide reads: 'White Bark Pine on Shattuck Mountain.',"Shattuck, C. H.",1904,Bitterroot Range (Idaho and Mont.);Blodgett Mountain;Idaho;Idaho County,Bitterroot Range (Idaho and Mont.),United States--Idaho--Idaho County,Blodgett Mountain,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, https://www.lib.uidaho.edu/digital/uiext/items/uiext3327.html)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/shattuck/","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 21; 20-12",0105-01-21,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,shattuck9.jpg,image,https://objects.lib.uidaho.edu/shattuck/shattuck9.jpg,https://objects.lib.uidaho.edu/shattuck/small/shattuck9_sm.jpg,https://objects.lib.uidaho.edu/shattuck/thumbs/shattuck9_th.jpg
